Time period,Australia,Austria,Belgium,Canada,Chile,Colombia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Euro area,Euro area (17 countries),OECD,Non-OECD economies,·  Brazil,·  Bulgaria,·  China (People’s Republic of),·  Croatia,·  India,·  Indonesia,·  Romania,·  Russia,·  Saudi Arabia,·  South Africa
2010,89,85.8,98.7,85.7,69.7,80,100.5,96.3,72.8,103.9,104.8,89.6,150.6,105,84.6,112.9,76.5,126.7,96.6,100,86.6,90.8,86.9,90.8,119.2,77.4,83.4,113.5,113.5,105.3,122.8,141.9,77.2,79.9,83.7,93.8,92.8,107.3,108,96,,75,115.5,96.9,117.9,62.9,96.2,134.7,138.3,,99.9
2011,85.2,87.7,99.6,88.4,75.8,81.8,99.3,92.6,75.1,103.8,109.1,90.9,138.3,98.2,85.4,92.6,82,124.8,97.2,101.2,91.8,92.7,87.5,92.8,113.7,75.8,89.1,108.6,106,99.9,123.4,128.1,78.1,85.4,83.2,88.9,86.6,106.1,106.7,93.6,,89.9,105.2,99,115.6,69.3,93.9,113.5,113.3,,98
2012,83.1,91.4,99.6,91.5,81.6,87,96.1,88,77.3,103.4,107.1,92.6,121,89.8,86.3,79,83,118.4,96.9,100.1,92.4,89.5,89.3,91.4,104.9,78.6,94.2,101.6,96.7,93.9,112.6,107,78.7,90.3,84.3,87.8,87.3,102,102.4,92.7,,98.1,100.3,95.7,110.3,79.4,92.5,103.4,115.6,,96.6
2013,86.6,94.1,100.1,92.8,87.6,93.2,95.5,90.8,83,102.1,104.2,94,109.7,86.3,88,78.8,88.7,109.5,98.7,97.9,98.5,89.7,92.3,93.9,96.7,84.9,96,96.7,94,93.5,105.3,96.3,82.3,93.3,88.5,88.1,92.2,98.9,99.1,94.3,,102.6,99.5,100,104,84.4,97.9,101.7,116.6,,97
2014,92.9,95.9,99,95.9,93.4,97.7,96.7,93.6,93.7,100.5,102.2,96,104,88.9,93.1,90.6,93.9,104.1,98.2,98.2,103.6,95.5,95.7,93.2,96.7,89.7,96.4,98,97.8,94.9,98.4,96.5,89.3,96.1,93.2,94,95.3,98.7,98.8,96.3,,104.8,99.6,102.7,102.6,91.3,99.1,98.4,111.4,102.9,98.5
2015,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100
2016,104.8,105.3,100.8,109.1,102.8,102.9,106,104.5,102.9,101.1,100.7,106.7,98.5,112.3,108.7,106.6,108.3,99.7,102.6,100.3,107.7,104.2,105.2,101.6,104.6,113.4,103.8,102.6,106,106.9,103.7,104.4,107.3,101.8,106.8,105.7,104.5,103.5,103.4,104.1,,91.8,105.2,109.9,102,102.5,100.1,105.2,96.2,91.8,98.7
2017,112.2,108.7,102.3,120.4,108.5,105.9,115,108.6,103.9,101.2,103,111.4,97.2,122,131.1,116.9,112.4,97.3,104.8,99.5,113.9,109.4,108.7,103.7,110.8,118.9,106.9,104.5,113.9,112.1,110.6,109.2,112.5,102.9,105.9,108.5,109,106.5,106.3,107.6,,88.9,109.4,122.5,105,107.5,99.8,108.7,99.1,86.4,98.4
2018,108.8,112.8,103.3,122.9,117.4,108.1,121.4,112.9,106.3,100.8,104.1,116.8,98.9,134.8,137.7,127,110.7,95.5,106.1,99.5,121.6,114.4,114.3,108.1,118.7,121.6,105.9,109.8,123.6,118.2,117.9,115,108.7,104.8,99.9,109.7,113.4,109.8,109.6,110.3,,85.1,113.9,127.1,109.8,108.9,99.8,110.5,102.3,81.6,98
2019,102.5,117.5,105.6,122.7,125,109.6,128.8,114.5,110.4,100.3,106.7,121.8,105.9,151,137.8,127.8,112,94.6,107.3,98.5,128.2,119.7,124.2,114.5,124.4,123.5,106.1,116.7,134.7,126,124,119.6,109.2,108.9,91.2,109.1,117.4,113.3,113,112.7,,82.2,118.3,128.3,118.4,108.5,98.5,108.5,101.3,79.5,96.8
2020,106.7,125.2,109.1,129.7,126.7,109.9,135.5,119.2,118.5,101.7,111.6,130.5,112,154,141.8,128.3,115.9,96.1,107,100.9,132.4,126.8,140,115.5,131.6,133.9,108.9,124.7,145.9,135.1,130.2,122.3,112.8,114.1,99.1,111.7,125.2,118.6,118.3,117.9,,79.7,124.7,129.7,126.8,106.7,98.1,111,117.1,77.4,96.2
2021,122.8,136.7,113.4,144.6,135.7,109,155.7,130.5,131.6,104,117.4,141.5,119.4,169.2,154,135.1,123.9,97.2,112.7,107,143,140.7,157.5,118.1,144.4,164.3,117,129,156.4,139.4,140.6,124,121.5,121.7,112.3,117.9,140.2,125.1,124.8,127.8,,74.7,127.5,133.6,132.5,103.6,97.9,110.9,127.7,75.1,98.8
2022,124.5,141.8,108.6,152.5,130.3,103.2,159.3,127.8,136.6,99.1,119.1,139.4,126.2,179.8,174.3,141.1,139.4,94.5,118.7,104.7,143.2,141.3,163.7,118,152.2,155.7,117.2,126.5,164.3,141.8,146.8,125.1,118,127.5,155.4,119.2,149.6,125.6,125,133.1,,71.7,125.4,132.2,137.6,99.1,95.1,104.4,146.2,74.9,96.2
2023,119.1,127.2,104.8,144.1,130.2,100.8,144.9,118.9,132.6,89.3,110.6,119.5,137.2,167.3,172.2,134,138,91,118.7,94.2,136.2,142.4,143.7,128.3,139.6,137.8,109.2,125.8,170.2,128.3,146.4,123.4,105,127.3,194.4,111.9,151.3,116.6,115.9,131,,72.1,127.1,131.7,141.8,99.1,92.9,98.1,154.9,74.2,91.8
