countryname,year,lifeladder,loggdppercapita,socialsupport,healthylifeexpectancyatbirth,freedomtomakelifechoices,generosity,perceptionsofcorruption,positiveaffect,negativeaffect,code,house_price,ptr_ratio,r_house_price,rent_price,gini,life_expectancy,social_expenditure,housing_expenditure_ratio,ownership,pri_ratio,employment_rate,idcode,gini_dum,social_expenditure_dum,gini_dum_int,socialexp_dum_int,owner_dum,owner_dum_int,gini_dum_int_sq,ln_house_price,ln_r_house_price,r_house_price_growth
Australia,2012,7.1960001,10.744,.94499999,70.360001,.935,.26800001,.368,.72799999,.214,AUS,78.900002,84.900002,83.099998,92.900002,.326,82,21.063999,23.355175,62.900002,85.199997,72.345581,Australia,1,1,.32600001,21.063999,1,62.900002,.10627601,4.3681812,4.4200449,
Australia,2013,7.3639998,10.752,.92799997,70.440002,.93300003,.26300001,.43200001,.76999998,.177,AUS,84.099998,87.599998,86.599998,96,,82.099998,21.326,23.455395,62.400002,88.400002,71.970444,Australia,0,1,0,21.326,1,62.400002,0,4.4320064,4.4612999,.041255113
Australia,2014,7.289,10.763,.92400002,70.519997,.92299998,.31299999,.442,.74000001,.245,AUS,91.699997,93.199997,92.900002,98.400002,.337,82.300003,22.372999,23.435438,62.799999,93.099998,71.566353,Australia,1,1,.33700001,22.372999,1,62.799999,.11356901,4.5185223,4.5315237,.070223868
Australia,2015,7.309,10.77,.95200002,70.599998,.92199999,.32699999,.35699999,.75,.20999999,AUS,100,100,100,100,,82.400002,22.962,23.331327,63.5,100,72.157959,Australia,0,1,0,22.962,1,63.5,0,4.6051702,4.6051702,.073646523
Australia,2016,7.25,10.781,.94199997,70.675003,.92199999,.233,.39899999,.736,.236,AUS,105.5,104.7,104.8,100.8,.33,82.400002,22.414,23.403124,63,105.1,72.384537,Australia,1,1,.33000001,22.414,1,63,.10890001,4.658711,4.6520538,.046883617
Australia,2017,7.257,10.787,.94999999,70.75,.91100001,.31200001,.41100001,.72799999,.22499999,AUS,114.3,112.7,112.2,101.4,,82.5,21.674,23.610359,62.799999,112.4,72.771057,Australia,0,1,0,21.674,1,62.799999,0,4.7388268,4.720283,.068229161
Australia,2018,7.177,10.801,.94,70.824997,.91600001,.141,.405,.70599997,.18700001,AUS,112.7,110.4,108.8,102.1,.325,82.699997,21.062,23.712233,62.5,107.6,73.489258,Australia,1,1,.32499999,21.062,1,62.5,.10562499,4.7247295,4.6895113,-.030771604
Australia,2019,7.2340002,10.807,.94300002,70.900002,.91799998,.115,.43000001,.727,.20200001,AUS,108.1,105.5,102.5,102.4,,82.900002,24.212999,24.914545,62.700001,100.5,74.110626,Australia,0,1,0,24.212999,1,62.700001,0,4.6830568,4.6298628,-.059648562
Austria,2012,7.401,10.884,.94499999,70.099998,.92000002,.112,.77100003,.71200001,.15700001,AUT,86.900002,97.199997,91.400002,89.300003,.276,81.099998,28.424999,21.46044,49.599998,88.300003,71.425003,Austria,1,1,.27599999,28.424999,1,49.599998,.076175995,4.4647579,4.5152454,
Austria,2013,7.4990001,10.878,.94999999,70.199997,.92199999,.163,.67900002,.72500002,.163,AUT,91.199997,99,94.099998,92.099998,.28,81.300003,28.862,21.765268,49.900002,93.800003,71.400002,Austria,1,1,.28,28.862,1,49.900002,.078400001,4.5130548,4.5443583,.029112535
Austria,2014,6.9499998,10.877,.89899999,70.300003,.88499999,.112,.56699997,.72100002,.17,AUT,94.699997,98.900002,95.900002,95.800003,.274,81.599998,29.035999,21.922367,49.700001,95.699997,71.074997,Austria,1,1,.27399999,29.035999,1,49.700001,.075075991,4.550714,4.5633059,.018947968
Austria,2015,7.0760002,10.876,.92799997,70.400002,.89999998,.093000002,.55699998,.74800003,.164,AUT,100,100,100,100,.275,81.300003,29.061001,22.071707,48.799999,100,71.099998,Austria,1,1,.27500001,29.061001,1,48.799999,.075625002,4.6051702,4.6051702,.041864187
Austria,2016,7.0479999,10.885,.926,70.525002,.889,.074000001,.52399999,.713,.197,AUT,106.7,103.5,105.3,103.1,.284,81.800003,28.979,22.123238,47.900002,103.8,71.550003,Austria,1,1,.28400001,28.979,1,47.900002,.080656007,4.6700211,4.6568136,.051643264
Austria,2017,7.2940001,10.9,.90600002,70.650002,.88999999,.12800001,.51800001,.699,.18000001,AUT,112.1,104.5,108.7,107.3,.275,81.699997,28.613001,22.278522,47.400002,106.8,72.199997,Austria,1,1,.27500001,28.613001,1,47.400002,.075625002,4.7193913,4.688592,.031778317
Austria,2018,7.3959999,10.919,.912,70.775002,.90399998,.048,.523,.69499999,.226,AUT,118.8,106.7,112.8,111.3,.28,81.800003,28.385,22.246086,47.799999,109.7,73.025002,Austria,1,1,.28,28.385,1,47.799999,.078400001,4.7774415,4.7256165,.037024599
Austria,2019,7.1950002,10.93,.96399999,70.900002,.903,.054000001,.45699999,.727,.205,AUT,126,109.9,117.5,114.6,.274,82,28.552,22.50852,47.799999,114.6,73.525002,Austria,1,1,.27399999,28.552,1,47.799999,.075075991,4.8362818,4.7664385,.040821966
Belgium,2012,6.9349999,10.783,.92699999,69.519997,.85500002,-.056000002,.75800002,.71799999,.23800001,BEL,97.099998,101.4,99.599998,95.699997,,80.5,27.966999,24.738842,67.199997,99,61.825001,Belgium,0,1,0,27.966999,1,67.199997,0,4.5757413,4.601162,
Belgium,2013,7.1040001,10.783,.90899998,69.68,.89099997,.011,.574,.73799998,.21699999,BEL,98.599998,101.6,100.1,97,,80.699997,28.344999,24.801533,66.800003,100,61.799999,Belgium,0,1,0,28.344999,1,66.800003,0,4.5910711,4.6061697,.0050075217
Belgium,2014,6.855,10.794,.94400001,69.839996,.861,-.0049999999,.51200002,.74400002,.252,BEL,98.199997,99.199997,99,99,,81.400002,28.399,24.101072,66.099998,98.800003,61.900002,Belgium,0,1,0,28.399,1,66.099998,0,4.5870061,4.59512,-.011049821
Belgium,2015,6.9039998,10.809,.88499999,70,.86900002,.056000002,.46900001,.74699998,.23999999,BEL,100,100,100,100,,81.099998,29.059999,23.934765,65.900002,100,61.799999,Belgium,0,1,0,29.059999,1,65.900002,0,4.6051702,4.6051702,.010050336
Belgium,2016,6.9489999,10.816,.92900002,70.150002,.866,-.061999999,.49700001,.70099998,.25999999,BEL,102.3,101.4,100.8,100.9,,81.5,28.43,23.746279,66.199997,99.800003,62.299999,Belgium,0,1,0,28.43,1,66.199997,0,4.6279097,4.6131382,.0079682004
Belgium,2017,6.928,10.829,.92199999,70.300003,.85699999,.048999999,.54299998,.713,.234,BEL,105.9,103.8,102.3,102,,81.599998,28.280001,23.848291,67.800003,100.1,63.125,Belgium,0,1,0,28.280001,1,67.800003,0,4.6624951,4.6279097,.014771317
Belgium,2018,6.8920002,10.842,.93000001,70.449997,.80800003,-.13,.63,.68199998,.25,BEL,109.1,105.9,103.3,103.1,.258,81.699997,28.360001,23.90361,67.300003,100.2,64.449997,Belgium,1,1,.25799999,28.360001,1,67.300003,.066563994,4.692265,4.6376376,.0097277025
Belgium,2019,6.7719998,10.859,.884,70.599998,.77600002,-.178,.67199999,.699,.244,BEL,113.2,108.7,105.6,104.2,.262,82.099998,28.222,23.745995,66.300003,100.1,65.300003,Belgium,1,1,.26199999,28.222,1,66.300003,.068643995,4.729156,4.6596584,.022020951
Canada,2012,7.415,10.739,.94800001,70.919998,.91799998,.28400001,.46599999,.77600002,.229,CAN,87.599998,91.400002,91.5,95.900002,.317,81.800003,17.222,23.830967,69.599998,95.300003,72.316673,Canada,1,1,.317,17.222,1,69.599998,.100489,4.4727812,4.5163388,
Canada,2013,7.5939999,10.752,.93599999,70.980003,.91600001,.31,.40599999,.801,.26300001,CAN,90.099998,92.5,92.800003,97.400002,.319,81.800003,16.986,24.047527,69.099998,95.099998,72.716667,Canada,1,1,.31900001,16.986,1,69.099998,.10176101,4.5009203,4.5304465,.0141077
Canada,2014,7.3039999,10.77,.91799998,71.040001,.93900001,.264,.442,.79100001,.259,CAN,94.900002,96,95.900002,98.800003,.312,81.900002,16.913,24.127289,69.800003,97.900002,72.5,Canada,1,1,.31200001,16.913,1,69.800003,.097344004,4.5528235,4.5633059,.032859325
Canada,2015,7.4130001,10.769,.93900001,71.099998,.93099999,.24699999,.42699999,.792,.28600001,CAN,100,100,100,100,.318,81.900002,17.934,24.231375,69.099998,100,72.741669,Canada,1,1,.31799999,17.934,1,69.099998,.101124,4.6051702,4.6051702,.041864187
Canada,2016,7.2449999,10.768,.92400002,71.150002,.912,.205,.38499999,.76800001,.237,CAN,110,109.3,109.1,100.7,.307,82,18.296,24.23506,68.099998,111,72.675003,Canada,1,1,.30700001,18.296,1,68.099998,.09424901,4.7004805,4.692265,.087094694
Canada,2017,7.415,10.786,.93400002,71.199997,.94499999,.15700001,.36199999,.79900002,.21799999,CAN,122.7,121.1,120.4,101.3,.31,81.900002,18.028999,23.912947,68.800003,119.5,73.566673,Canada,1,1,.31,18.028999,1,68.800003,.096100003,4.8097425,4.7908196,.098554663
Canada,2018,7.1750002,10.799,.92299998,71.25,.94599998,.1,.37200001,.773,.259,CAN,127.2,124.1,122.9,102.5,.304,81.900002,18.004,23.838188,69.199997,122.1,74.025002,Canada,1,1,.30399999,18.004,1,69.199997,.092415996,4.8457608,4.8113708,.020551484
Canada,2019,7.1090002,10.803,.92500001,71.300003,.912,.105,.43599999,.78100002,.285,CAN,129,122.6,122.7,105.3,.3,82.300003,18.784,24.239151,69.599998,120.1,74.599998,Canada,1,1,.30000001,18.784,1,69.599998,.090000004,4.8598123,4.8097425,-.0016287022
Colombia,2012,6.375,9.4680004,.91399997,67.639999,.82800001,-.015,.86799997,.829,.294,COL,77.699997,86.099998,87,90.199997,,74.699997,13.742,15.963941,43.400002,94.699997,66.014999,Colombia,0,1,0,13.742,1,43.400002,0,4.3528552,4.4659081,
Colombia,2013,6.6069999,9.5080004,.90100002,67.860001,.84100002,-.075999998,.898,.815,.278,COL,85.099998,90.900002,93.199997,93.599998,,75,14.472,16.08852,43.299999,97.400002,66.214157,Colombia,0,1,0,14.472,1,43.299999,0,4.4438272,4.5347476,.068839572
Colombia,2014,6.4489999,9.5419998,.90700001,68.080002,.801,-.096000001,.88700002,.82499999,.278,COL,92,95.099998,97.699997,96.699997,,75.199997,15.416,16.05092,41.400002,99.900002,66.709999,Colombia,0,1,0,15.416,1,41.400002,0,4.5217886,4.5819016,.047153838
Colombia,2015,6.388,9.5620003,.88999999,68.300003,.79100001,-.106,.84299999,.80299997,.292,COL,100,100,100,100,,75.400002,15.892,15.789909,40.5,100,67.385002,Colombia,0,1,0,15.892,1,40.5,0,4.6051702,4.6051702,.023268659
Colombia,2016,6.2340002,9.5719995,.88200003,68.474998,.83499998,-.106,.898,.76999998,.294,COL,109.6,105.4,102.9,104,,75.699997,15.541,15.849312,40.400002,104.3,67.032501,Colombia,0,1,0,15.541,1,40.400002,0,4.6968374,4.6337576,.028587472
Colombia,2017,6.1570001,9.5699997,.90899998,68.650002,.838,-.163,.875,.79000002,.29899999,COL,117,108,105.9,108.3,,75.900002,15.555,15.993696,39.200001,104.8,66.933327,Colombia,0,1,0,15.555,1,39.200001,0,4.7621741,4.6624951,.02873761
Colombia,2018,5.9840002,9.5769997,.87099999,68.824997,.85100001,-.154,.85500002,.77499998,.301,COL,123.3,109.9,108.1,112.3,,76.5,15.202,16.207159,38.400002,105.3,66.450844,Colombia,0,1,0,15.202,1,38.400002,0,4.8146205,4.6830568,.020561444
Colombia,2019,6.3499999,9.5900002,.87300003,69,.82200003,-.177,.85399997,.79100001,.322,COL,130,112.5,109.6,115.6,,76.599998,15.807,16.050394,38.200001,106.5,65.366669,Colombia,0,1,0,15.807,1,38.200001,0,4.8675346,4.6968374,.01378065
Czechia,2012,6.3340001,10.425,.912,67.940002,.74000001,-.16,.95700002,.63499999,.257,CZE,93.800003,97.5,96.099998,96.300003,.254,78.099998,20.605,27.742529,78.199997,100.2,66.550003,Czechia,1,1,.25400001,20.605,1,78.199997,.064516,4.5411649,4.5653892,
Czechia,2013,6.698,10.424,.88800001,68.059998,.72600001,-.162,.91600001,.65600002,.25299999,CZE,93.900002,95.5,95.5,98.300003,.259,78.300003,21.033001,27.665178,77.900002,100.4,67.724998,Czechia,1,1,.259,21.033001,1,77.900002,.067081004,4.5422306,4.5591264,-.0062630526
Czechia,2014,6.4840002,10.445,.87800002,68.18,.80000001,-.17399999,.89700001,.63800001,.235,CZE,96.199997,97,96.699997,99.199997,.257,78.900002,20.457001,26.527071,76.5,98.900002,68.974998,Czechia,1,1,.257,20.457001,1,76.5,.066049002,4.5664291,4.5716133,.012487124
Czechia,2015,6.6079998,10.496,.91100001,68.300003,.80800003,-.152,.88599998,.68900001,.206,CZE,100,100,100,100,.258,78.699997,19.673,26.244638,75.400002,100,70.224998,Czechia,1,1,.25799999,19.673,1,75.400002,.066563994,4.6051702,4.6051702,.033556815
Czechia,2016,6.7360001,10.519,.93099999,68.425003,.85000002,-.204,.89999998,.70999998,.20100001,CZE,107.2,105.9,106,101.2,.253,79.099998,19.315001,26.095459,75.300003,103.1,71.949997,Czechia,1,1,.25299999,19.315001,1,75.300003,.064008996,4.6746964,4.6634393,.058268908
Czechia,2017,6.79,10.567,.90100002,68.550003,.83200002,-.183,.86699998,.67199999,.227,CZE,119.7,115.8,115,103.4,.249,79.099998,19.370001,25.912025,75.599998,106.7,73.625,Czechia,1,1,.249,19.370001,1,75.599998,.062000997,4.7849884,4.7449322,.081493035
Czechia,2018,7.0339999,10.595,.92900002,68.675003,.79000002,-.29899999,.85100001,.67400002,.178,CZE,130,122.1,121.4,106.4,.249,79.099998,19.525,26.516785,75.400002,108.1,74.824997,Czechia,1,1,.249,19.525,1,75.400002,.062000997,4.8675346,4.7990909,.054158762
Denmark,2012,7.52,10.844,.95099998,69.839996,.93300003,.133,.18700001,.78299999,.20900001,DNK,86.699997,91.800003,88,94.5,.249,80.199997,32.105,29.528814,54.400002,91.800003,71.025002,Denmark,1,1,.249,32.105,1,54.400002,.062000997,4.4624538,4.4773369,
Denmark,2013,7.5890002,10.849,.96499997,70.059998,.92000002,.20900001,.17,.82599998,.19499999,DNK,90.099998,93.400002,90.800003,96.5,.254,80.400002,32.779999,30.028486,54.700001,93.699997,70.775002,Denmark,1,1,.25400001,32.779999,1,54.700001,.064516,4.5009203,4.5086594,.031322505
Denmark,2014,7.5079999,10.86,.95599997,70.279999,.94199997,.112,.237,.77999997,.233,DNK,93.5,95.199997,93.599998,98.099998,.256,80.699997,33.042999,29.536896,53.900002,96.900002,71.099998,Denmark,1,1,.25600001,33.042999,1,53.900002,.065536007,4.5379615,4.5390306,.030371048
Denmark,2015,7.5139999,10.876,.95999998,70.5,.94099998,.21600001,.191,.801,.21799999,DNK,100,100,100,100,.263,80.800003,32.610001,29.269659,53.299999,100,71.974998,Denmark,1,1,.26300001,32.610001,1,53.299999,.069169007,4.6051702,4.6051702,.066139817
Denmark,2016,7.5580001,10.9,.954,70.625,.94800001,.132,.20999999,.78600001,.208,DNK,104.6,103.2,104.5,101.3,.261,80.900002,31.583,28.981518,52.5,99.699997,72.675003,Denmark,1,1,.26100001,31.583,1,52.5,.068121001,4.6501436,4.6491871,.044016887
Denmark,2017,7.5939999,10.922,.95200002,70.75,.95499998,.149,.18099999,.77899998,.206,DNK,109.7,106.6,108.6,103,.264,81.099998,31.247,28.467745,53.900002,102.8,73.224998,Denmark,1,1,.264,31.247,1,53.900002,.069696002,4.6977491,4.6876712,.038484324
Denmark,2018,7.6490002,10.936,.958,70.875,.935,.012,.15099999,.773,.206,DNK,114.6,110,112.9,104.2,.263,81,30.816,28.403517,52.900002,104.7,74.125,Denmark,1,1,.26300001,30.816,1,52.900002,.069169007,4.7414479,4.7265024,.038831092
Denmark,2019,7.6929998,10.948,.958,71,.963,.015,.17399999,.79699999,.18099999,DNK,117.2,111.5,114.5,105.1,.268,81.5,30.796,28.092548,52.700001,104,75,Denmark,1,1,.26800001,30.796,1,52.700001,.071824007,4.7638817,4.7405748,.014072338
Estonia,2012,5.3639998,10.275,.889,67.459999,.69700003,-.197,.79299998,.62699997,.199,EST,74.400002,101,77.300003,73.599998,,76.699997,15.753,19.646843,78.300003,91.300003,67.974998,Estonia,0,1,0,15.753,1,78.300003,0,4.3094559,4.3476939,
Estonia,2013,5.3670001,10.293,.90100002,67.739998,.75400001,-.206,.72600001,.65100002,.199,EST,82.300003,97.900002,83,84,.356,77.5,15.676,19.123291,76.5,91.800003,69.175003,Estonia,1,1,.35600001,15.676,1,76.5,.126736,4.4103713,4.4188404,.071146615
Estonia,2014,5.5560002,10.325,.917,68.019997,.773,-.15800001,.65200001,.62,.20299999,EST,93.599998,100.4,93.699997,93.199997,.346,77.400002,15.983,18.522295,77.199997,100.3,70.224998,Estonia,1,1,.34599999,15.983,1,77.199997,.11971599,4.5390306,4.5400982,.12125755
Estonia,2015,5.6290002,10.343,.91799998,68.300003,.815,-.169,.56900001,.64899999,.183,EST,100,100,100,100,.33,78,17.278999,18.123709,76.900002,100,72.074997,Estonia,1,1,.33000001,17.278999,1,76.900002,.10890001,4.6051702,4.6051702,.06507203
Estonia,2016,5.6500001,10.374,.93800002,68.525002,.84299999,-.155,.639,.65700001,.177,EST,104.7,98.300003,102.9,106.5,.314,78,17.533001,17.959969,76.300003,99.900002,72.400002,Estonia,1,1,.31400001,17.533001,1,76.300003,.098596007,4.6510992,4.6337576,.028587472
Estonia,2017,5.9380002,10.429,.93599999,68.75,.86199999,-.107,.66799998,.74000001,.16,EST,110.5,96.699997,103.9,114.3,.309,78.400002,17.028,17.888275,77.099998,97.900002,74.5,Estonia,1,1,.30899999,17.028,1,77.099998,.095480993,4.7050157,4.6434288,.009671255
Estonia,2018,6.0910001,10.463,.93300003,68.974998,.88599998,-.147,.62099999,.73000002,.163,EST,117.1,96,106.3,121.9,.305,78.5,17.462,18.005636,77.400002,92.099998,75.050003,Estonia,1,1,.30500001,17.462,1,77.400002,.093025006,4.7630281,4.6662655,.022836402
Estonia,2019,6.0349998,10.496,.93400002,69.199997,.88700002,-.101,.57599998,.73799998,.156,EST,125.3,95.800003,110.4,130.7,.305,79,17.907,18.497095,76.400002,93,75.550003,Estonia,1,1,.30500001,17.907,1,76.400002,.093025006,4.8307109,4.7041101,.037844833
Finland,2012,7.4200001,10.735,.92799997,70.040001,.921,-.0070000002,.361,.74199998,.20200001,FIN,99.199997,108.4,103.4,91.5,.26,80.699997,28.438,25.857769,68.099998,102.5,68.449997,Finland,1,1,.25999999,28.438,1,68.099998,.067599997,4.5971379,4.6386051,
Finland,2013,7.4450002,10.722,.94099998,70.260002,.91900003,.034000002,.30599999,.75199997,.19499999,FIN,100.4,106.6,102.1,94.199997,.262,81.099998,29.552,26.554148,67.300003,102.1,68.074997,Finland,1,1,.26199999,29.552,1,67.300003,.068643995,4.6091623,4.6259527,-.012652267
Finland,2014,7.3850002,10.714,.95200002,70.480003,.93300003,-.0070000002,.26499999,.76599997,.199,FIN,100,103,100.5,97.099998,.257,81.300003,30.285,27.187511,66.400002,101.3,67.949997,Finland,1,1,.257,30.285,1,66.400002,.066049002,4.6051702,4.6101575,-.015794983
Finland,2015,7.448,10.716,.94800001,70.699997,.93000001,.105,.223,.736,.191,FIN,100,100,100,100,.26,81.599998,30.638,27.898113,65.900002,100,67.550003,Finland,1,1,.25999999,30.638,1,65.900002,.067599997,4.6051702,4.6051702,-.0049875416
Finland,2016,7.6599998,10.741,.954,70.775002,.94800001,-.033,.25,.76899999,.182,FIN,101.3,99,101.1,102.3,.259,81.5,30.546,28.2857,64.599998,100,68.224998,Finland,1,1,.259,30.546,1,64.599998,.067081004,4.6180863,4.6161103,.010939925
Finland,2017,7.7880001,10.77,.96399999,70.849998,.96200001,-.0080000004,.192,.75599998,.176,FIN,102.4,98.099998,101.2,104.4,.266,81.699997,29.674,28.549706,64.599998,99,69.074997,Finland,1,1,.266,29.674,1,64.599998,.070756003,4.6288867,4.6170988,.00098861579
