"Country name","year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","area"
"Australia",2005,7.341,10.662,0.968,69.8,0.935,NA,0.39,0.77,0.238,"AUS"
"Australia",2007,7.285,10.694,0.965,69.96,0.891,0.342,0.513,0.762,0.215,"AUS"
"Australia",2008,7.254,10.709,0.947,70.04,0.916,0.3,0.431,0.729,0.218,"AUS"
"Australia",2010,7.45,10.714,0.955,70.2,0.932,0.311,0.366,0.762,0.22,"AUS"
"Australia",2011,7.406,10.723,0.967,70.28,0.945,0.364,0.382,0.724,0.195,"AUS"
"Australia",2012,7.196,10.744,0.945,70.36,0.935,0.268,0.368,0.728,0.214,"AUS"
"Australia",2013,7.364,10.752,0.928,70.44,0.933,0.263,0.432,0.77,0.177,"AUS"
"Australia",2014,7.289,10.763,0.924,70.52,0.923,0.313,0.442,0.74,0.245,"AUS"
"Australia",2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,"AUS"
"Australia",2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,"AUS"
"Australia",2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,"AUS"
"Australia",2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,"AUS"
"Australia",2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,"AUS"
"Australia",2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,"AUS"
"Australia",2021,7.112,10.815,0.92,71.05,0.912,0.234,0.454,0.74,0.235,"AUS"
"Australia",2022,7.035,10.84,0.942,71.125,0.854,0.153,0.545,0.711,0.244,"AUS"
"Australia",2023,7.025,10.846,0.896,71.2,0.876,0.187,0.482,0.731,0.248,"AUS"
"Austria",2006,7.122,10.836,0.936,69.5,0.941,0.297,0.49,0.746,0.174,"AUT"
"Austria",2008,7.181,10.881,0.935,69.7,0.879,0.286,0.614,0.716,0.173,"AUT"
"Austria",2010,7.303,10.856,0.914,69.9,0.896,0.125,0.546,0.71,0.156,"AUT"
"Austria",2011,7.471,10.881,0.944,70,0.939,0.126,0.703,0.672,0.145,"AUT"
"Austria",2012,7.401,10.884,0.945,70.1,0.92,0.112,0.771,0.712,0.157,"AUT"
"Austria",2013,7.499,10.878,0.95,70.2,0.922,0.163,0.679,0.725,0.163,"AUT"
"Austria",2014,6.95,10.877,0.899,70.3,0.885,0.112,0.567,0.721,0.17,"AUT"
"Austria",2015,7.076,10.876,0.928,70.4,0.9,0.093,0.557,0.748,0.164,"AUT"
"Austria",2016,7.048,10.885,0.926,70.525,0.889,0.074,0.524,0.713,0.197,"AUT"
"Austria",2017,7.294,10.9,0.906,70.65,0.89,0.128,0.518,0.699,0.18,"AUT"
"Austria",2018,7.396,10.919,0.912,70.775,0.904,0.048,0.523,0.695,0.226,"AUT"
"Austria",2019,7.195,10.93,0.964,70.9,0.903,0.054,0.457,0.727,0.205,"AUT"
"Austria",2020,7.213,10.859,0.925,71.025,0.912,0.004,0.464,0.716,0.206,"AUT"
"Austria",2021,7.08,10.899,0.863,71.15,0.795,0.158,0.501,0.722,0.259,"AUT"
"Austria",2022,6.999,10.938,0.876,71.275,0.856,0.137,0.524,0.718,0.226,"AUT"
"Austria",2023,6.636,10.93,0.874,71.4,0.874,0.209,0.529,0.712,0.24,"AUT"
"Belgium",2005,7.262,10.744,0.935,68.4,0.924,NA,0.598,0.677,0.26,"BEL"
"Belgium",2007,7.219,10.791,0.922,68.72,0.901,0.064,0.721,0.744,0.218,"BEL"
"Belgium",2008,7.117,10.788,0.923,68.88,0.887,0.001,0.652,0.709,0.242,"BEL"
"Belgium",2010,6.854,10.778,0.931,69.2,0.807,0.016,0.697,0.793,0.24,"BEL"
"Belgium",2011,7.111,10.782,0.937,69.36,0.88,-0.02,0.711,0.752,0.225,"BEL"
"Belgium",2012,6.935,10.783,0.927,69.52,0.855,-0.056,0.758,0.718,0.238,"BEL"
"Belgium",2013,7.104,10.783,0.909,69.68,0.891,0.011,0.574,0.738,0.217,"BEL"
"Belgium",2014,6.855,10.794,0.944,69.84,0.861,-0.005,0.512,0.744,0.252,"BEL"
"Belgium",2015,6.904,10.809,0.885,70,0.869,0.056,0.469,0.747,0.24,"BEL"
"Belgium",2016,6.949,10.816,0.929,70.15,0.866,-0.062,0.497,0.701,0.26,"BEL"
"Belgium",2017,6.928,10.829,0.922,70.3,0.857,0.049,0.543,0.713,0.234,"BEL"
"Belgium",2018,6.892,10.842,0.93,70.45,0.808,-0.13,0.63,0.682,0.25,"BEL"
"Belgium",2019,6.772,10.859,0.884,70.6,0.776,-0.178,0.672,0.699,0.244,"BEL"
"Belgium",2020,6.839,10.799,0.904,70.75,0.767,-0.172,0.634,0.619,0.26,"BEL"
"Belgium",2021,6.882,10.856,0.915,70.9,0.823,0.077,0.523,0.687,0.26,"BEL"
"Belgium",2022,6.857,10.881,0.923,71.05,0.89,0.095,0.483,0.718,0.235,"BEL"
"Belgium",2023,6.944,10.883,0.896,71.2,0.87,0.065,0.522,0.725,0.245,"BEL"
"Canada",2005,7.418,10.707,0.962,70.5,0.957,0.246,0.503,0.783,0.233,"CAN"
"Canada",2007,7.482,10.734,NA,70.62,0.93,0.244,0.406,0.812,0.257,"CAN"
"Canada",2008,7.486,10.733,0.939,70.68,0.926,0.256,0.37,0.802,0.202,"CAN"
"Canada",2009,7.488,10.692,0.943,70.74,0.915,0.241,0.413,0.793,0.248,"CAN"
"Canada",2010,7.65,10.711,0.954,70.8,0.934,0.225,0.413,0.791,0.233,"CAN"
"Canada",2011,7.426,10.733,0.922,70.86,0.951,0.247,0.433,0.803,0.248,"CAN"
"Canada",2012,7.415,10.739,0.948,70.92,0.918,0.284,0.466,0.776,0.229,"CAN"
"Canada",2013,7.594,10.752,0.936,70.98,0.916,0.31,0.406,0.801,0.263,"CAN"
"Canada",2014,7.304,10.77,0.918,71.04,0.939,0.264,0.442,0.791,0.259,"CAN"
"Canada",2015,7.413,10.769,0.939,71.1,0.931,0.247,0.427,0.792,0.286,"CAN"
"Canada",2016,7.245,10.768,0.924,71.15,0.912,0.205,0.385,0.768,0.237,"CAN"
"Canada",2017,7.415,10.786,0.934,71.2,0.945,0.157,0.362,0.799,0.218,"CAN"
"Canada",2018,7.175,10.799,0.923,71.25,0.946,0.1,0.372,0.773,0.259,"CAN"
"Canada",2019,7.109,10.803,0.925,71.3,0.912,0.105,0.436,0.781,0.285,"CAN"
"Canada",2020,7.025,10.74,0.931,71.35,0.887,0.043,0.434,0.738,0.307,"CAN"
"Canada",2021,6.939,10.783,0.926,71.4,0.898,0.189,0.384,0.763,0.276,"CAN"
"Canada",2022,6.918,10.799,0.929,71.45,0.838,0.22,0.442,0.719,0.287,"CAN"
"Canada",2023,6.841,10.794,0.902,71.5,0.847,0.196,0.468,0.726,0.304,"CAN"
"Chile",2006,6.063,9.87,0.836,67.78,0.744,0.161,0.634,0.752,0.348,"CHL"
"Chile",2007,5.698,9.91,0.815,67.96,0.662,0.236,0.723,0.708,0.342,"CHL"
"Chile",2008,5.789,9.938,0.804,68.14,0.64,0.076,0.741,0.706,0.33,"CHL"
"Chile",2009,6.494,9.916,0.832,68.32,0.747,0.141,0.734,0.756,0.3,"CHL"
"Chile",2010,6.636,9.963,0.857,68.5,0.786,0.1,0.702,0.76,0.3,"CHL"
"Chile",2011,6.526,10.013,0.819,68.68,0.701,0.104,0.753,0.758,0.317,"CHL"
"Chile",2012,6.599,10.063,0.855,68.86,0.734,0.186,0.782,0.736,0.288,"CHL"
"Chile",2013,6.74,10.086,0.862,69.04,0.737,0.077,0.741,0.791,0.285,"CHL"
"Chile",2014,6.844,10.094,0.862,69.22,0.733,0.209,0.758,0.8,0.276,"CHL"
"Chile",2015,6.533,10.105,0.827,69.4,0.769,0.032,0.812,0.752,0.333,"CHL"
"Chile",2016,6.579,10.11,0.841,69.55,0.652,0.094,0.858,0.792,0.283,"CHL"
"Chile",2017,6.32,10.108,0.88,69.7,0.79,-0.028,0.836,0.765,0.291,"CHL"
"Chile",2018,6.436,10.13,0.89,69.85,0.789,-0.068,0.816,0.755,0.276,"CHL"
"Chile",2019,5.942,10.119,0.869,70,0.659,-0.11,0.86,0.741,0.337,"CHL"
"Chile",2020,6.151,10.042,0.888,70.15,0.781,0.026,0.812,0.753,0.336,"CHL"
"Chile",2021,6.436,10.143,0.891,70.3,0.803,-0.052,0.859,0.735,0.221,"CHL"
"Chile",2022,6.415,10.161,0.887,70.45,0.793,-0.014,0.796,0.775,0.253,"CHL"
"Chile",2023,6.23,10.155,0.874,70.6,0.815,-0.027,0.836,0.779,0.263,"CHL"
"Colombia",2006,6.025,9.277,0.91,66.32,0.805,-0.021,0.808,0.776,0.326,"COL"
"Colombia",2007,6.138,9.33,0.894,66.54,0.786,-0.046,0.86,0.774,0.287,"COL"
"Colombia",2008,6.168,9.351,0.88,66.76,0.795,-0.047,0.763,0.768,0.307,"COL"
"Colombia",2009,6.272,9.351,0.886,66.98,0.757,-0.06,0.837,0.786,0.273,"COL"
"Colombia",2010,6.408,9.383,0.893,67.2,0.816,-0.055,0.815,0.792,0.265,"COL"
"Colombia",2011,6.464,9.44,0.904,67.42,0.811,-0.079,0.847,0.785,0.286,"COL"
"Colombia",2012,6.375,9.468,0.914,67.64,0.828,-0.015,0.868,0.829,0.294,"COL"
"Colombia",2013,6.607,9.508,0.901,67.86,0.841,-0.076,0.898,0.815,0.278,"COL"
"Colombia",2014,6.449,9.542,0.907,68.08,0.801,-0.096,0.887,0.825,0.278,"COL"
"Colombia",2015,6.388,9.562,0.89,68.3,0.791,-0.106,0.843,0.803,0.292,"COL"
"Colombia",2016,6.234,9.572,0.882,68.475,0.835,-0.106,0.898,0.77,0.294,"COL"
"Colombia",2017,6.157,9.57,0.909,68.65,0.838,-0.163,0.875,0.79,0.299,"COL"
"Colombia",2018,5.984,9.577,0.871,68.825,0.851,-0.154,0.855,0.775,0.301,"COL"
"Colombia",2019,6.35,9.59,0.873,69,0.822,-0.177,0.854,0.791,0.322,"COL"
"Colombia",2020,5.709,9.5,0.797,69.175,0.84,-0.091,0.808,0.759,0.34,"COL"
"Colombia",2021,5.29,9.593,0.793,69.35,0.775,-0.065,0.831,0.752,0.348,"COL"
"Colombia",2022,5.892,9.658,0.877,69.525,0.799,-0.164,0.863,0.762,0.306,"COL"
"Colombia",2023,5.904,9.667,0.833,69.7,0.823,-0.142,0.87,0.754,0.285,"COL"
"Costa Rica",2006,7.082,9.607,0.937,68.56,0.882,0.052,0.798,0.815,0.236,"CRI"
"Costa Rica",2007,7.432,9.672,0.918,68.72,0.923,0.089,0.82,0.826,0.24,"CRI"
"Costa Rica",2008,6.851,9.704,0.916,68.88,0.912,0.087,0.816,0.838,0.233,"CRI"
"Costa Rica",2009,7.615,9.682,0.9,69.04,0.886,0.057,0.787,0.84,0.217,"CRI"
"Costa Rica",2010,7.271,9.721,0.915,69.2,0.881,0.038,0.763,0.827,0.221,"CRI"
"Costa Rica",2011,7.229,9.752,0.892,69.36,0.926,-0.042,0.837,0.794,0.269,"CRI"
"Costa Rica",2012,7.272,9.788,0.902,69.52,0.929,0.037,0.794,0.837,0.263,"CRI"
"Costa Rica",2013,7.158,9.801,0.902,69.68,0.898,0.009,0.813,0.809,0.278,"CRI"
"Costa Rica",2014,7.247,9.824,0.914,69.84,0.927,0,0.788,0.797,0.29,"CRI"
"Costa Rica",2015,6.854,9.85,0.878,70,0.907,-0.068,0.761,0.811,0.286,"CRI"
"Costa Rica",2016,7.136,9.881,0.901,70,0.873,-0.042,0.781,0.83,0.281,"CRI"
"Costa Rica",2017,7.225,9.912,0.922,70,0.936,-0.086,0.742,0.791,0.275,"CRI"
"Costa Rica",2018,7.141,9.928,0.876,70,0.942,-0.117,0.781,0.802,0.326,"CRI"
"Costa Rica",2019,6.998,9.944,0.906,70,0.927,-0.156,0.836,0.791,0.303,"CRI"
"Costa Rica",2020,6.338,9.892,0.834,70,0.889,-0.139,0.772,0.759,0.35,"CRI"
"Costa Rica",2021,6.408,9.961,0.876,70,0.887,-0.029,0.782,0.774,0.318,"CRI"
"Costa Rica",2022,7.077,9.998,0.902,70,0.91,-0.049,0.751,0.793,0.272,"CRI"
"Costa Rica",2023,7.384,10.021,0.875,70,0.933,-0.067,0.767,0.806,0.282,"CRI"
"Czechia",2005,6.439,10.322,0.919,67.1,0.865,NA,0.901,0.639,0.258,"CZE"
"Czechia",2007,6.5,10.433,0.9,67.34,0.799,-0.069,0.928,0.66,0.277,"CZE"
"Czechia",2010,6.25,10.419,0.934,67.7,0.779,-0.048,0.926,0.648,0.244,"CZE"
"Czechia",2011,6.331,10.434,0.914,67.82,0.787,-0.112,0.95,0.623,0.253,"CZE"
"Czechia",2012,6.334,10.425,0.912,67.94,0.74,-0.16,0.957,0.635,0.257,"CZE"
"Czechia",2013,6.698,10.424,0.888,68.06,0.726,-0.162,0.916,0.656,0.253,"CZE"
"Czechia",2014,6.484,10.445,0.878,68.18,0.8,-0.174,0.897,0.638,0.235,"CZE"
"Czechia",2015,6.608,10.496,0.911,68.3,0.808,-0.152,0.886,0.689,0.206,"CZE"
"Czechia",2016,6.736,10.519,0.931,68.425,0.85,-0.204,0.9,0.71,0.201,"CZE"
"Czechia",2017,6.79,10.567,0.901,68.55,0.832,-0.183,0.867,0.672,0.227,"CZE"
"Czechia",2018,7.034,10.595,0.929,68.675,0.79,-0.299,0.851,0.674,0.178,"CZE"
"Czechia",2020,6.897,10.562,0.964,68.925,0.906,-0.135,0.884,0.748,0.29,"CZE"
"Czechia",2021,6.942,10.615,0.95,69.05,0.891,0.157,0.863,0.716,0.24,"CZE"
"Czechia",2022,6.695,10.637,0.944,69.175,0.908,0.093,0.831,0.743,0.246,"CZE"
"Czechia",2023,6.827,10.639,0.927,69.3,0.906,0.025,0.832,0.75,0.254,"CZE"
"Denmark",2005,8.019,10.849,0.972,68.3,0.971,NA,0.237,0.777,0.154,"DNK"
"Denmark",2007,7.834,10.889,0.954,68.74,0.932,0.234,0.206,0.778,0.194,"DNK"
"Denmark",2008,7.971,10.878,0.954,68.96,0.97,0.266,0.248,0.759,0.163,"DNK"
"Denmark",2009,7.683,10.822,0.939,69.18,0.949,0.258,0.206,0.782,0.234,"DNK"
"Denmark",2010,7.771,10.836,0.975,69.4,0.944,0.237,0.175,0.796,0.155,"DNK"
"Denmark",2011,7.788,10.845,0.962,69.62,0.935,0.292,0.22,0.778,0.175,"DNK"
"Denmark",2012,7.52,10.844,0.951,69.84,0.933,0.133,0.187,0.783,0.209,"DNK"
"Denmark",2013,7.589,10.849,0.965,70.06,0.92,0.209,0.17,0.826,0.195,"DNK"
"Denmark",2014,7.508,10.86,0.956,70.28,0.942,0.112,0.237,0.78,0.233,"DNK"
"Denmark",2015,7.514,10.876,0.96,70.5,0.941,0.216,0.191,0.801,0.218,"DNK"
"Denmark",2016,7.558,10.9,0.954,70.625,0.948,0.132,0.21,0.786,0.208,"DNK"
"Denmark",2017,7.594,10.922,0.952,70.75,0.955,0.149,0.181,0.779,0.206,"DNK"
"Denmark",2018,7.649,10.936,0.958,70.875,0.935,0.012,0.151,0.773,0.206,"DNK"
"Denmark",2019,7.693,10.948,0.958,71,0.963,0.015,0.174,0.797,0.181,"DNK"
"Denmark",2020,7.515,10.924,0.947,71.125,0.938,0.045,0.214,0.753,0.227,"DNK"
"Denmark",2021,7.699,10.968,0.945,71.25,0.933,0.13,0.173,0.792,0.206,"DNK"
"Denmark",2022,7.545,10.997,0.97,71.375,0.93,0.222,0.203,0.787,0.205,"DNK"
"Denmark",2023,7.504,10.996,0.916,71.5,0.923,0.089,0.184,0.757,0.229,"DNK"
"Estonia",2006,5.371,10.269,0.91,65.78,0.749,-0.27,0.797,0.589,0.215,"EST"
"Estonia",2007,5.332,10.346,0.896,66.06,0.712,-0.252,0.743,0.589,0.176,"EST"
"Estonia",2008,5.452,10.296,0.904,66.34,0.642,-0.223,0.663,0.595,0.218,"EST"
"Estonia",2009,5.138,10.14,0.874,66.62,0.611,-0.235,0.793,0.591,0.243,"EST"
"Estonia",2011,5.487,10.24,0.909,67.18,0.735,-0.173,0.687,0.641,0.205,"EST"
"Estonia",2012,5.364,10.275,0.889,67.46,0.697,-0.197,0.793,0.627,0.199,"EST"
"Estonia",2013,5.367,10.293,0.901,67.74,0.754,-0.206,0.726,0.651,0.199,"EST"
"Estonia",2014,5.556,10.325,0.917,68.02,0.773,-0.158,0.652,0.62,0.203,"EST"
"Estonia",2015,5.629,10.343,0.918,68.3,0.815,-0.169,0.569,0.649,0.183,"EST"
"Estonia",2016,5.65,10.374,0.938,68.525,0.843,-0.155,0.639,0.657,0.177,"EST"
"Estonia",2017,5.938,10.429,0.936,68.75,0.862,-0.107,0.668,0.74,0.16,"EST"
"Estonia",2018,6.091,10.463,0.933,68.975,0.886,-0.147,0.621,0.73,0.163,"EST"
"Estonia",2019,6.035,10.496,0.934,69.2,0.887,-0.101,0.576,0.738,0.156,"EST"
"Estonia",2020,6.453,10.488,0.958,69.425,0.954,-0.09,0.398,0.762,0.188,"EST"
"Estonia",2021,6.554,10.564,0.946,69.65,0.926,0.046,0.441,0.761,0.176,"EST"
"Estonia",2022,6.357,10.541,0.933,69.875,0.904,0.136,0.39,0.767,0.187,"EST"
"Estonia",2023,6.43,10.517,0.958,70.1,0.915,0.032,0.334,0.765,0.182,"EST"
"Finland",2006,7.672,10.745,0.965,68.72,0.969,-0.011,0.132,0.683,0.172,"FIN"
"Finland",2008,7.671,10.796,0.951,69.16,0.934,0.022,0.217,0.691,0.144,"FIN"
"Finland",2010,7.393,10.734,0.935,69.6,0.916,0.085,0.413,0.758,0.202,"FIN"
"Finland",2011,7.354,10.754,0.938,69.82,0.936,0.095,0.32,0.709,0.205,"FIN"
"Finland",2012,7.42,10.735,0.928,70.04,0.921,-0.007,0.361,0.742,0.202,"FIN"
"Finland",2013,7.445,10.722,0.941,70.26,0.919,0.034,0.306,0.752,0.195,"FIN"
"Finland",2014,7.385,10.714,0.952,70.48,0.933,-0.007,0.265,0.766,0.199,"FIN"
"Finland",2015,7.448,10.716,0.948,70.7,0.93,0.105,0.223,0.736,0.191,"FIN"
"Finland",2016,7.66,10.741,0.954,70.775,0.948,-0.033,0.25,0.769,0.182,"FIN"
"Finland",2017,7.788,10.77,0.964,70.85,0.962,-0.008,0.192,0.756,0.176,"FIN"
"Finland",2018,7.858,10.78,0.962,70.925,0.938,-0.133,0.199,0.749,0.182,"FIN"
"Finland",2019,7.78,10.791,0.937,71,0.948,-0.058,0.195,0.732,0.181,"FIN"
"Finland",2020,7.889,10.766,0.962,71.075,0.962,-0.123,0.164,0.748,0.193,"FIN"
"Finland",2021,7.794,10.794,0.97,71.15,0.963,-0.039,0.192,0.752,0.175,"FIN"
"Finland",2022,7.729,10.811,0.974,71.225,0.959,0.101,0.19,0.741,0.191,"FIN"
"Finland",2023,7.699,10.808,0.947,71.3,0.943,-0.001,0.185,0.717,0.173,"FIN"
"France",2005,7.093,10.637,0.94,70.7,0.895,NA,0.688,0.681,0.225,"FRA"
"France",2006,6.583,10.654,0.944,70.8,0.789,0.12,0.699,0.694,0.289,"FRA"
"France",2008,7.008,10.669,0.935,71,0.833,-0.037,0.669,0.702,0.281,"FRA"
"France",2009,6.283,10.635,0.918,71.1,0.798,-0.088,0.654,0.691,0.303,"FRA"
"France",2010,6.798,10.649,0.943,71.2,0.85,-0.109,0.623,0.729,0.261,"FRA"
"France",2011,6.959,10.666,0.921,71.3,0.903,-0.108,0.627,0.718,0.281,"FRA"
"France",2012,6.649,10.664,0.937,71.4,0.841,-0.155,0.608,0.705,0.253,"FRA"
"France",2013,6.667,10.665,0.908,71.5,0.878,-0.13,0.699,0.741,0.205,"FRA"
"France",2014,6.467,10.669,0.878,71.6,0.803,-0.124,0.656,0.759,0.216,"FRA"
"France",2015,6.358,10.677,0.896,71.7,0.817,-0.145,0.641,0.74,0.215,"FRA"
"France",2016,6.475,10.685,0.885,71.8,0.787,-0.097,0.623,0.715,0.27,"FRA"
"France",2017,6.635,10.705,0.931,71.9,0.834,-0.129,0.601,0.716,0.242,"FRA"
"France",2018,6.666,10.72,0.921,72,0.816,-0.143,0.582,0.705,0.282,"FRA"
"France",2019,6.69,10.735,0.958,72.1,0.827,-0.139,0.568,0.693,0.25,"FRA"
"France",2020,6.714,10.651,0.947,72.2,0.823,-0.176,0.565,0.69,0.231,"FRA"
"France",2021,6.656,10.714,0.915,72.3,0.837,-0.104,0.561,0.685,0.268,"FRA"
"France",2022,6.614,10.737,0.866,72.4,0.798,-0.027,0.533,0.688,0.249,"FRA"
"France",2023,6.557,10.742,0.85,72.5,0.776,0.01,0.558,0.676,0.228,"FRA"
"Germany",2005,6.62,10.691,0.963,69.9,0.847,NA,0.781,0.685,0.197,"DEU"
"Germany",2007,6.417,10.76,0.926,69.94,0.801,0.161,0.792,0.647,0.231,"DEU"
"Germany",2008,6.522,10.771,0.923,69.96,0.766,NA,0.758,0.672,0.22,"DEU"
"Germany",2009,6.641,10.715,0.935,69.98,0.844,0.121,0.69,0.684,0.206,"DEU"
"Germany",2010,6.725,10.758,0.939,70,0.843,0.089,0.688,0.698,0.182,"DEU"
"Germany",2011,6.621,10.815,0.947,70.02,0.906,0.027,0.677,0.686,0.165,"DEU"
