Country.name,year,Life.Ladder,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Positive.affect,Negative.affect,code,house_price,pri_ratio,ptr_ratio,r_house_price,Rent_price,employment_rate,gini,life_expectancy,social_expenditure,housing_expenditure_ratio
Australia,2012,7.196,10.744,0.945,70.36,0.935,0.268,0.368,0.728,0.214,AUS,78.9,85.2,84.9,83.1,92.9,72.34558,0.326,82,21.064,23.35517575
Australia,2013,7.364,10.752,0.928,70.44,0.933,0.263,0.432,0.77,0.177,AUS,84.1,88.4,87.6,86.6,96,71.97044,NA,82.1,21.326,23.45539559
Australia,2014,7.289,10.763,0.924,70.52,0.923,0.313,0.442,0.74,0.245,AUS,91.7,93.1,93.2,92.9,98.4,71.56635,0.337,82.3,22.373,23.43543889
Australia,2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,AUS,100,100,100,100,100,72.15796,NA,82.4,22.962,23.33132803
Australia,2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,AUS,105.5,105.1,104.7,104.8,100.8,72.38454,0.33,82.4,22.414,23.40312355
Australia,2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,AUS,114.3,112.4,112.7,112.2,101.4,72.77106,NA,82.5,21.674,23.61035972
Australia,2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,AUS,112.7,107.6,110.4,108.8,102.1,73.48926,0.325,82.7,21.062,23.71223339
Australia,2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,AUS,108.1,100.5,105.5,102.5,102.4,74.11063,NA,82.9,24.213,24.91454567
Australia,2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,AUS,113.9,100.2,112.3,106.7,101.5,72.35858,0.318,83.2,NA,25.0482226
Australia,2021,7.112,10.815,0.92,71.05,0.912,0.234,0.454,0.74,0.235,AUS,133.8,113.4,132.1,122.8,101.3,74.58255,NA,83.3,NA,24.13026983
Austria,2012,7.401,10.884,0.945,70.1,0.92,0.112,0.771,0.712,0.157,AUT,86.9,88.3,97.2,91.4,89.3,71.425,0.276,81.1,28.425,21.46043958
Austria,2013,7.499,10.878,0.95,70.2,0.922,0.163,0.679,0.725,0.163,AUT,91.2,93.8,99,94.1,92.1,71.4,0.28,81.3,28.862,21.76526765
Austria,2014,6.95,10.877,0.899,70.3,0.885,0.112,0.567,0.721,0.17,AUT,94.7,95.7,98.9,95.9,95.8,71.075,0.274,81.6,29.036,21.92236624
Austria,2015,7.076,10.876,0.928,70.4,0.9,0.093,0.557,0.748,0.164,AUT,100,100,100,100,100,71.1,0.275,81.3,29.061,22.07170702
Austria,2016,7.048,10.885,0.926,70.525,0.889,0.074,0.524,0.713,0.197,AUT,106.7,103.8,103.5,105.3,103.1,71.55,0.284,81.8,28.979,22.12323741
Austria,2017,7.294,10.9,0.906,70.65,0.89,0.128,0.518,0.699,0.18,AUT,112.1,106.8,104.5,108.7,107.3,72.2,0.275,81.7,28.613,22.27852156
Austria,2018,7.396,10.919,0.912,70.775,0.904,0.048,0.523,0.695,0.226,AUT,118.8,109.7,106.7,112.8,111.3,73.025,0.28,81.8,28.385,22.24608644
Austria,2019,7.195,10.93,0.964,70.9,0.903,0.054,0.457,0.727,0.205,AUT,126,114.6,109.9,117.5,114.6,73.525,0.274,82,28.552,22.50851957
Austria,2020,7.213,10.859,0.925,71.025,0.912,0.004,0.464,0.716,0.206,AUT,135.5,123.5,113.5,125.2,119.3,71.725,0.272,81.3,NA,25.41378304
Austria,2021,7.08,10.899,0.863,71.15,0.795,0.158,0.501,0.722,0.259,AUT,151,132.4,124.1,136.7,121.7,72.4,0.281,81.3,NA,25.70515808
Belgium,2012,6.935,10.783,0.927,69.52,0.855,-0.056,0.758,0.718,0.238,BEL,97.1,99,101.4,99.6,95.7,61.825,NA,80.5,27.967,24.73884224
Belgium,2013,7.104,10.783,0.909,69.68,0.891,0.011,0.574,0.738,0.217,BEL,98.6,100,101.6,100.1,97,61.8,NA,80.7,28.345,24.80153242
Belgium,2014,6.855,10.794,0.944,69.84,0.861,-0.005,0.512,0.744,0.252,BEL,98.2,98.8,99.2,99,99,61.9,NA,81.4,28.399,24.10107206
Belgium,2015,6.904,10.809,0.885,70,0.869,0.056,0.469,0.747,0.24,BEL,100,100,100,100,100,61.8,NA,81.1,29.06,23.93476483
Belgium,2016,6.949,10.816,0.929,70.15,0.866,-0.062,0.497,0.701,0.26,BEL,102.3,99.8,101.4,100.8,100.9,62.3,NA,81.5,28.43,23.74627871
Belgium,2017,6.928,10.829,0.922,70.3,0.857,0.049,0.543,0.713,0.234,BEL,105.9,100.1,103.8,102.3,102,63.125,NA,81.6,28.28,23.8482916
Belgium,2018,6.892,10.842,0.93,70.45,0.808,-0.13,0.63,0.682,0.25,BEL,109.1,100.2,105.9,103.3,103.1,64.45,0.258,81.7,28.36,23.90360981
Belgium,2019,6.772,10.859,0.884,70.6,0.776,-0.178,0.672,0.699,0.244,BEL,113.2,100.1,108.7,105.6,104.2,65.3,0.262,82.1,28.222,23.74599368
Belgium,2020,6.839,10.799,0.904,70.75,0.767,-0.172,0.634,0.619,0.26,BEL,118.1,102.9,110.4,109.1,107,64.45,0.248,80.8,NA,25.47757396
Belgium,2021,6.882,10.856,0.915,70.9,0.823,0.077,0.523,0.687,0.26,BEL,126,104.7,115.4,113.4,109.2,65.3,0.256,81.9,NA,25.25394109
Canada,2012,7.415,10.739,0.948,70.92,0.918,0.284,0.466,0.776,0.229,CAN,87.6,95.3,91.4,91.5,95.9,72.31667,0.317,81.8,17.222,23.83096707
Canada,2013,7.594,10.752,0.936,70.98,0.916,0.31,0.406,0.801,0.263,CAN,90.1,95.1,92.5,92.8,97.4,72.71667,0.319,81.8,16.986,24.04752757
Canada,2014,7.304,10.77,0.918,71.04,0.939,0.264,0.442,0.791,0.259,CAN,94.9,97.9,96,95.9,98.8,72.5,0.312,81.9,16.913,24.12728892
Canada,2015,7.413,10.769,0.939,71.1,0.931,0.247,0.427,0.792,0.286,CAN,100,100,100,100,100,72.74167,0.318,81.9,17.934,24.23137503
Canada,2016,7.245,10.768,0.924,71.15,0.912,0.205,0.385,0.768,0.237,CAN,110,111,109.3,109.1,100.7,72.675,0.307,82,18.296,24.23505986
Canada,2017,7.415,10.786,0.934,71.2,0.945,0.157,0.362,0.799,0.218,CAN,122.7,119.5,121.1,120.4,101.3,73.56667,0.31,81.9,18.029,23.91294725
Canada,2018,7.175,10.799,0.923,71.25,0.946,0.1,0.372,0.773,0.259,CAN,127.2,122.1,124.1,122.9,102.5,74.025,0.304,81.9,18.004,23.83818811
Canada,2019,7.109,10.803,0.925,71.3,0.912,0.105,0.436,0.781,0.285,CAN,129,120.1,122.6,122.7,105.3,74.6,0.3,82.3,18.784,24.23915161
Canada,2020,7.025,10.74,0.931,71.35,0.887,0.043,0.434,0.738,0.307,CAN,137.4,120.4,128.4,129.7,107,70.125,0.28,81.7,24.911,26.56053999
Canada,2021,6.939,10.783,0.926,71.4,0.898,0.189,0.384,0.763,0.276,CAN,157.6,134.1,144.8,144.6,108.8,73.475,0.292,81.6,NA,25.57092382
Colombia,2012,6.375,9.468,0.914,67.64,0.828,-0.015,0.868,0.829,0.294,COL,77.7,94.7,86.1,87,90.2,66.015,NA,74.7,13.742,15.96394073
Colombia,2013,6.607,9.508,0.901,67.86,0.841,-0.076,0.898,0.815,0.278,COL,85.1,97.4,90.9,93.2,93.6,66.21416,NA,75,14.472,16.08852062
Colombia,2014,6.449,9.542,0.907,68.08,0.801,-0.096,0.887,0.825,0.278,COL,92,99.9,95.1,97.7,96.7,66.71,NA,75.2,15.416,16.0509213
Colombia,2015,6.388,9.562,0.89,68.3,0.791,-0.106,0.843,0.803,0.292,COL,100,100,100,100,100,67.385,NA,75.4,15.892,15.78990956
Colombia,2016,6.234,9.572,0.882,68.475,0.835,-0.106,0.898,0.77,0.294,COL,109.6,104.3,105.4,102.9,104,67.0325,NA,75.7,15.541,15.84931211
Colombia,2017,6.157,9.57,0.909,68.65,0.838,-0.163,0.875,0.79,0.299,COL,117,104.8,108,105.9,108.3,66.93333,NA,75.9,15.555,15.99369586
Colombia,2018,5.984,9.577,0.871,68.825,0.851,-0.154,0.855,0.775,0.301,COL,123.3,105.3,109.9,108.1,112.3,66.45084,NA,76.5,15.202,16.20715934
Colombia,2019,6.35,9.59,0.873,69,0.822,-0.177,0.854,0.791,0.322,COL,130,106.5,112.5,109.6,115.6,65.36667,NA,76.6,15.807,16.05039338
Colombia,2020,5.709,9.5,0.797,69.175,0.84,-0.091,0.808,0.759,0.34,COL,133.2,111.4,113,109.9,117.9,57.83167,NA,76.7,18.799,17.00971455
Colombia,2021,5.29,9.593,0.793,69.35,0.775,-0.065,0.831,0.752,0.348,COL,141.1,104.7,118,109,119.6,57.84833,NA,76.8,16.785,15.02412663
Czechia,2012,6.334,10.425,0.912,67.94,0.74,-0.16,0.957,0.635,0.257,CZE,93.8,100.2,97.5,96.1,96.3,66.55,0.254,78.1,20.605,27.74252905
Czechia,2013,6.698,10.424,0.888,68.06,0.726,-0.162,0.916,0.656,0.253,CZE,93.9,100.4,95.5,95.5,98.3,67.725,0.259,78.3,21.033,27.66517797
Czechia,2014,6.484,10.445,0.878,68.18,0.8,-0.174,0.897,0.638,0.235,CZE,96.2,98.9,97,96.7,99.2,68.975,0.257,78.9,20.457,26.52707104
Czechia,2015,6.608,10.496,0.911,68.3,0.808,-0.152,0.886,0.689,0.206,CZE,100,100,100,100,100,70.225,0.258,78.7,19.673,26.24463856
Czechia,2016,6.736,10.519,0.931,68.425,0.85,-0.204,0.9,0.71,0.201,CZE,107.2,103.1,105.9,106,101.2,71.95,0.253,79.1,19.315,26.09545903
Czechia,2017,6.79,10.567,0.901,68.55,0.832,-0.183,0.867,0.672,0.227,CZE,119.7,106.7,115.8,115,103.4,73.625,0.249,79.1,19.37,25.91202544
Czechia,2018,7.034,10.595,0.929,68.675,0.79,-0.299,0.851,0.674,0.178,CZE,130,108.1,122.1,121.4,106.4,74.825,0.249,79.1,19.525,26.51678418
Czechia,2020,6.897,10.562,0.964,68.925,0.906,-0.135,0.884,0.748,0.29,CZE,153.9,115.5,135.2,135.5,113.8,74.4,0.255,78.2,NA,28.34785198
Czechia,2021,6.942,10.615,0.95,69.05,0.891,0.157,0.863,0.716,0.24,CZE,184.2,126.6,158,155.7,116.5,74.4,0.255,77.2,NA,27.99047411
Denmark,2012,7.52,10.844,0.951,69.84,0.933,0.133,0.187,0.783,0.209,DNK,86.7,91.8,91.8,88,94.5,71.025,0.249,80.2,32.105,29.52881352
Denmark,2013,7.589,10.849,0.965,70.06,0.92,0.209,0.17,0.826,0.195,DNK,90.1,93.7,93.4,90.8,96.5,70.775,0.254,80.4,32.78,30.02848693
Denmark,2014,7.508,10.86,0.956,70.28,0.942,0.112,0.237,0.78,0.233,DNK,93.5,96.9,95.2,93.6,98.1,71.1,0.256,80.7,33.043,29.53689521
Denmark,2015,7.514,10.876,0.96,70.5,0.941,0.216,0.191,0.801,0.218,DNK,100,100,100,100,100,71.975,0.263,80.8,32.61,29.26965984
Denmark,2016,7.558,10.9,0.954,70.625,0.948,0.132,0.21,0.786,0.208,DNK,104.6,99.7,103.2,104.5,101.3,72.675,0.261,80.9,31.583,28.98151817
Denmark,2017,7.594,10.922,0.952,70.75,0.955,0.149,0.181,0.779,0.206,DNK,109.7,102.8,106.6,108.6,103,73.225,0.264,81.1,31.247,28.46774482
Denmark,2018,7.649,10.936,0.958,70.875,0.935,0.012,0.151,0.773,0.206,DNK,114.6,104.7,110,112.9,104.2,74.125,0.263,81,30.816,28.40351618
Denmark,2019,7.693,10.948,0.958,71,0.963,0.015,0.174,0.797,0.181,DNK,117.2,104,111.5,114.5,105.1,75,0.268,81.5,30.796,28.09254811
Denmark,2020,7.515,10.924,0.947,71.125,0.938,0.045,0.214,0.753,0.227,DNK,122.3,108,115.2,119.2,106.1,74.425,NA,81.6,NA,29.1412261
Denmark,2021,7.699,10.968,0.945,71.25,0.933,0.13,0.173,0.792,0.206,DNK,136.5,118.6,127,130.5,107.5,75.475,NA,81.5,NA,28.53606868
Estonia,2012,5.364,10.275,0.889,67.46,0.697,-0.197,0.793,0.627,0.199,EST,74.4,91.3,101,77.3,73.6,67.975,NA,76.7,15.753,19.6468429
Estonia,2013,5.367,10.293,0.901,67.74,0.754,-0.206,0.726,0.651,0.199,EST,82.3,91.8,97.9,83,84,69.175,0.356,77.5,15.676,19.12329042
Estonia,2014,5.556,10.325,0.917,68.02,0.773,-0.158,0.652,0.62,0.203,EST,93.6,100.3,100.4,93.7,93.2,70.225,0.346,77.4,15.983,18.5222958
Estonia,2015,5.629,10.343,0.918,68.3,0.815,-0.169,0.569,0.649,0.183,EST,100,100,100,100,100,72.075,0.33,78,17.279,18.12370914
Estonia,2016,5.65,10.374,0.938,68.525,0.843,-0.155,0.639,0.657,0.177,EST,104.7,99.9,98.3,102.9,106.5,72.4,0.314,78,17.533,17.95996817
Estonia,2017,5.938,10.429,0.936,68.75,0.862,-0.107,0.668,0.74,0.16,EST,110.5,97.9,96.7,103.9,114.3,74.5,0.309,78.4,17.028,17.88827479
Estonia,2018,6.091,10.463,0.933,68.975,0.886,-0.147,0.621,0.73,0.163,EST,117.1,92.1,96,106.3,121.9,75.05,0.305,78.5,17.462,18.00563657
Estonia,2019,6.035,10.496,0.934,69.2,0.887,-0.101,0.576,0.738,0.156,EST,125.3,93,95.8,110.4,130.7,75.55,0.305,79,17.907,18.49709514
Estonia,2020,6.453,10.488,0.958,69.425,0.954,-0.09,0.398,0.762,0.188,EST,132.8,97.4,106.2,118.5,125.2,73.975,0.305,78.9,NA,18.86955561
Estonia,2021,6.554,10.564,0.946,69.65,0.926,0.046,0.441,0.761,0.176,EST,152.8,103.3,117.6,131.6,129.9,74,0.321,77.2,NA,20.89904879
Finland,2012,7.42,10.735,0.928,70.04,0.921,-0.007,0.361,0.742,0.202,FIN,99.2,102.5,108.4,103.4,91.5,68.45,0.26,80.7,28.438,25.85776879
Finland,2013,7.445,10.722,0.941,70.26,0.919,0.034,0.306,0.752,0.195,FIN,100.4,102.1,106.6,102.1,94.2,68.075,0.262,81.1,29.552,26.55414802
Finland,2014,7.385,10.714,0.952,70.48,0.933,-0.007,0.265,0.766,0.199,FIN,100,101.3,103,100.5,97.1,67.95,0.257,81.3,30.285,27.18751164
Finland,2015,7.448,10.716,0.948,70.7,0.93,0.105,0.223,0.736,0.191,FIN,100,100,100,100,100,67.55,0.26,81.6,30.638,27.89811252
Finland,2016,7.66,10.741,0.954,70.775,0.948,-0.033,0.25,0.769,0.182,FIN,101.3,100,99,101.1,102.3,68.225,0.259,81.5,30.546,28.28569897
Finland,2017,7.788,10.77,0.964,70.85,0.962,-0.008,0.192,0.756,0.176,FIN,102.4,99,98.1,101.2,104.4,69.075,0.266,81.7,29.674,28.54970505
Finland,2018,7.858,10.78,0.962,70.925,0.938,-0.133,0.199,0.749,0.182,FIN,103.3,97,97.2,100.8,106.4,71.15,0.269,81.8,29.391,28.58716467
Finland,2019,7.78,10.791,0.937,71,0.948,-0.058,0.195,0.732,0.181,FIN,103.8,94.6,95.6,100.3,108.5,72,0.273,82.1,29.454,28.83030207
Finland,2020,7.889,10.766,0.962,71.075,0.962,-0.123,0.164,0.748,0.193,FIN,105.6,95.8,96,101.7,110,71.175,0.265,82,NA,30.52853687
Finland,2021,7.794,10.794,0.97,71.15,0.963,-0.039,0.192,0.752,0.175,FIN,110.4,97.3,99.6,104,110.9,72.65,0.273,81.9,NA,30.07238732
France,2012,6.649,10.664,0.937,71.4,0.841,-0.155,0.608,0.705,0.253,FRA,106,107,109.5,107.1,96.8,64.375,NA,82.1,31.177,26.12605543
France,2013,6.667,10.665,0.908,71.5,0.878,-0.13,0.699,0.741,0.205,FRA,103.8,105.6,105.6,104.2,98.3,64.375,NA,82.4,32.325,26.60145746
France,2014,6.467,10.669,0.878,71.6,0.803,-0.124,0.656,0.759,0.216,FRA,101.9,102.7,102.6,102.2,99.4,64.525,NA,82.9,32.648,26.50187781
France,2015,6.358,10.677,0.896,71.7,0.817,-0.145,0.641,0.74,0.215,FRA,100,100,100,100,100,64.7,NA,82.4,32.465,26.4658735
France,2016,6.475,10.685,0.885,71.8,0.787,-0.097,0.623,0.715,0.27,FRA,100.9,99.6,100.6,100.7,100.3,65,NA,82.7,32.64,26.42040439
France,2017,6.635,10.705,0.931,71.9,0.834,-0.129,0.601,0.716,0.242,FRA,104,100.5,103.4,103,100.5,65.55,NA,82.7,32.16,26.16928953
France,2018,6.666,10.72,0.921,72,0.816,-0.143,0.582,0.705,0.282,FRA,107.1,101.3,106.9,104.1,100.2,66.15,NA,82.8,31.728,26.13169866
France,2019,6.69,10.735,0.958,72.1,0.827,-0.139,0.568,0.693,0.25,FRA,110.7,101.7,109.9,106.7,100.7,66.375,NA,83,31.489,26.23708503
France,2020,6.714,10.651,0.947,72.2,0.823,-0.176,0.565,0.69,0.231,FRA,116.8,106.9,115.6,111.6,101.1,66.1,0.278,82.3,35.619,28.21972652
France,2021,6.656,10.714,0.915,72.3,0.837,-0.104,0.561,0.685,0.268,FRA,124.6,108.8,122.3,117.4,101.9,67.25,0.298,82.4,NA,27.61922726
Germany,2012,6.702,10.817,0.926,70.04,0.904,0.065,0.679,0.699,0.17,DEU,89.8,94.7,93.4,92.6,96.1,72.05,0.289,80.7,26.982,24.85517862
Germany,2013,6.965,10.819,0.931,70.06,0.894,0.018,0.566,0.693,0.205,DEU,92.5,96.6,95,94,97.4,72.525,0.292,80.6,27.266,25.23465477
Germany,2014,6.984,10.837,0.938,70.08,0.899,0.082,0.474,0.739,0.188,DEU,95.5,97.5,96.6,96,98.8,72.8,0.289,81.2,27.143,24.71815081
Germany,2015,7.037,10.843,0.926,70.1,0.889,0.172,0.412,0.722,0.203,DEU,100,100,100,100,100,73,0.293,80.7,27.46,24.50562152
Germany,2016,6.874,10.857,0.906,70.3,0.871,0.142,0.446,0.709,0.187,DEU,107.4,105,106.2,106.7,101.1,73.675,0.294,81,27.714,24.22996476
Germany,2017,7.074,10.879,0.892,70.5,0.841,0.139,0.414,0.707,0.196,DEU,114,108.2,111.2,111.4,102.5,74.25,0.289,81.1,27.696,24.13006268
Germany,2018,7.118,10.886,0.92,70.7,0.877,0.028,0.496,0.74,0.243,DEU,121.6,111.2,116.8,116.8,104.1,74.9,0.289,81,27.826,24.04262985
Germany,2019,7.035,10.894,0.886,70.9,0.885,0.051,0.462,0.712,0.226,DEU,128.6,115.1,121.9,121.8,105.6,75.65,0.296,81.3,28.18,24.0018054
Germany,2020,7.312,10.856,0.905,71.1,0.864,-0.068,0.424,0.698,0.206,DEU,138.6,123.9,129.5,130.5,107,76.15579,0.303,81.1,NA,25.61820409
Germany,2021,6.755,10.881,0.868,71.3,0.778,0.074,0.418,0.703,0.251,DEU,154.7,134.4,142.5,141.5,108.5,75.6,NA,80.8,NA,25.47507723
Greece,2012,5.096,10.251,0.812,70.16,0.373,-0.31,0.959,0.544,0.352,GRC,127.7,122.6,105,121,121.6,50.425,0.338,80.7,27.956,24.11415034
Greece,2013,4.72,10.233,0.687,70.24,0.426,-0.277,0.941,0.571,0.482,GRC,113.8,116.1,100.4,109.7,113.3,48.475,0.342,81.4,26.143,23.16812941
Greece,2014,4.756,10.245,0.832,70.32,0.369,-0.293,0.93,0.597,0.385,GRC,105.3,106.3,100.7,104,104.6,49.225,0.339,81.5,26.121,22.12858361
Greece,2015,5.623,10.249,0.835,70.4,0.532,-0.277,0.824,0.637,0.277,GRC,100,100,100,100,100,50.7,0.34,81.1,26.228,21.57011424
Greece,2016,5.303,10.248,0.803,70.525,0.482,-0.265,0.898,0.594,0.336,GRC,97.6,98.3,100.2,98.5,97.4,51.775,0.333,81.5,26.572,21.74466972
Greece,2017,5.148,10.261,0.753,70.65,0.438,-0.295,0.872,0.516,0.333,GRC,96.6,97,101.5,97.2,95.2,53.225,0.319,81.4,25.698,20.69859186
Greece,2018,5.409,10.28,0.794,70.775,0.564,-0.34,0.86,0.564,0.255,GRC,98.4,97.2,106.7,98.9,92.2,54.525,0.306,81.9,25.529,19.64974331
