STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,TRANSFORMATION,,ADJUSTMENT,,SEX,,AGE,,ACTIVITY,,FREQ,,TIME_PERIOD,,OBS_VALUE,,BASE_PER,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,64.34369,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,64.62727,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2014,,65.56622,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2015,,65.90981,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2016,,66.07566,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2017,,66.62926,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2018,,66.61324,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2019,,66.82268,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2020,,65.86022,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2021,,66.52686,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,KOR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2022,,68.51241,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,75.9,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,75.1,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2014,,74.65,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2015,,75.65,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2016,,76.375,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2017,,77.375,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2018,,78.7,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2019,,79.7,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2020,,79.3,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2021,,80.15,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,NLD,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2022,,81.775,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,48.9,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,49.525,,,,B,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2014,,49.525,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2015,,50.15,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2016,,50.65,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2017,,51.55,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2018,,51.975,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2019,,50.3,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2020,,47.5,,,,B,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2021,,50.25,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,TUR,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2022,,52.825,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,79.675,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,81.1,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2014,,82.95,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2015,,84.725,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2016,,86.525,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2017,,86.1,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2018,,85.075,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2019,,84.1,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2020,,80.3,,,,B,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2021,,79.75,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ISL,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2022,,83.275,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,55.75,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,54.825,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2014,,56,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2015,,57.8,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2016,,59.55,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2017,,61.1,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2018,,62.4,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2019,,63.3,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2020,,60.95,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2021,,62.625,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ESP,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2022,,64.275,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2015,,64.325,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2016,,65.275,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2017,,66.225,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2018,,67.175,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2019,,67.875,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2020,,66.6,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2021,,67.775,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2022,,69.375,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2023,,70.05,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,63.35,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,EA20,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,63.1,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,56.075,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,54.95,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2014,,55.275,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2015,,56.025,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2016,,57.05,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2017,,57.875,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2018,,58.5,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2019,,59.05,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2020,,57.45,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2021,,58.25,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,ITA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2022,,60.15,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,67.13661,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,67.35994,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2014,,68.14875,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2015,,68.70962,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2016,,69.35136,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2017,,70.11017,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2018,,70.72614,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2019,,71.35841,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2020,,67.06998,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2021,,69.40365,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,USA,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2022,,71.27018,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,G7,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2012,,67.70052,,,,E,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,G7,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,A,,2013,,68.01307,,,,E,,0,,1,
